uniform_name	filename	battle_filename	campaign_porthole_filename	campaign_politician_filename	campaign_override_skeleton
#agent_uniforms_tables;10;db/agent_uniforms_tables/hkrul_camille					
hkrul_dauphine	hkrul_dauphine	hkrul_dauphine	hkrul_dauphine		
ovn_uniform_mar_sea_wizard_01	ovn_mar_ch_sea_wizard_campaign_01	ovn_mar_ch_sea_wizard_campaign_01	ovn_mar_ch_sea_wizard_campaign_01		
ovn_uniform_mar_sea_wizard_02	ovn_mar_ch_sea_wizard_campaign_02	ovn_mar_ch_sea_wizard_campaign_02	ovn_mar_ch_sea_wizard_campaign_02		
chaos_whale_kou	chaos_whale_kou_campaign	chaos_whale_kou_campaign	chaos_whale_kou_campaign		
chaos_whale_kou_ship	chaos_whale_kou_ship	chaos_whale_kou_ship	chaos_whale_kou_ship		
hkrul_arbatt	hkrul_arbatt	hkrul_arbatt	hkrul_arbatt		
hkrul_fooger	hkrul_fooger	hkrul_fooger	hkrul_fooger		
hkrul_fooger_caravan_master_01	hkrul_fooger_caravan_master_01	hkrul_fooger_caravan_master_01	hkrul_fooger_caravan_master_01		
hkrul_fooger_caravan_master_02	hkrul_fooger_caravan_master_02	hkrul_fooger_caravan_master_02	hkrul_fooger_caravan_master_02		
hkrul_rasha	hkrul_rasha	hkrul_rasha	hkrul_rasha		
hkrul_ogg	hkrul_ogg	hkrul_ogg	hkrul_ogg		
hkrul_paldee	hkrul_paldee	hkrul_paldee	hkrul_paldee		
