agent_subtype	ancillary
#ancillaries_included_agent_subtypes_tables;0;db/ancillaries_included_agent_subtypes_tables/rhox_mar	
hkrul_solkan	hkrul_solkan_item_greatsword
hkrul_solkan	hkrul_solkan_ring
hkrul_mar_egmond	hkrul_egmond_katana
hkrul_jk	hkrul_mar_coin
hkrul_jk	hkrul_jk_mount_barded_warhorse
hkrul_pg	hkrul_pg_mount_barded_warhorse
hkrul_hendrik	hkrul_hendrik_mount_barded_warhorse
hkrul_solkan	hkrul_solkan_horse
hkrul_hendrik	hkrul_hendrik_pegasus
hkrul_mar_egmond	hkrul_mar_egmond_mount_horse
hkrul_mar_egmond	hkrul_egmond_longma
hkrul_mar_munvard	hkrul_mar_mundvard_beast
mar_caravan_master	hkrul_caravan_lord_horse
hkrul_mar_munvard	hkrul_mundvard_artifact_wsoran
hkrul_hendrik	hkrul_mar_mace
mar_caravan_master	hkrul_mar_barrel
