character_item	character_name
#battle_set_piece_armies_characters_items_tables;0;db/battle_set_piece_armies_characters_items_tables/hkrul_mar	
hkrul_mar_coin	hkrul_jk
hkrul_mar_jk_hat	hkrul_jk
hkrul_solkan_item_greatsword	hkrul_solkan
hkrul_solkan_ring	hkrul_solkan
hkrul_mar_tze_amulet	hkrul_mar_egmond
hkrul_egmond_katana	hkrul_mar_egmond
hkrul_alicia_ring	hkrul_alicia
hkrul_alicia_rose	hkrul_alicia
hkrul_mundvard_artifact_wsoran	hkrul_mar_munvard
hkrul_mundvard_sword_wsoran	hkrul_mar_munvard
hkrul_mar_mace	hkrul_hendrik
hkrul_mar_stevedore	hkrul_pg
