chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/rhox_mar			
hkrul_mar_bechai	rhox_mar_landmark		false
rhox_mar_foreign_corruption	wh3_main_foreign_slot_core_generic		false
rhox_mar_foreign_income	wh3_main_foreign_slot_core_generic		false
rhox_mar_foreign_trade	wh3_main_foreign_slot_core_generic		false
rhox_mar_emp_walls	wh3_main_secondary_addon_garrison_major		false
rhox_mar_emp_garrison	wh3_main_secondary_addon_garrison_minor		false
rhox_egmond_emp_walls	wh3_main_secondary_addon_garrison_major		false
rhox_egmond_emp_garrison	wh3_main_secondary_addon_garrison_minor		false
rhox_mar_emp_allied_outpost	wh3_main_foreign_slot_allied		false
rhox_egmond_emp_allied_outpost	wh3_main_foreign_slot_allied		false
