building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip
#building_culture_variants_tables;4;db/building_culture_variants_tables/rhox_mar								
rhox_mar_foreign_corruption_1			ovn_mar_the_wasteland	wh_main_PLACEHOLDER	hkrul_mar_tavern	false	rhox_mar_foreign_corruption_1	true
rhox_mar_foreign_income_1			ovn_mar_the_wasteland	wh_main_PLACEHOLDER	hkrul_mar_crime	false	rhox_mar_foreign_income_1	true
rhox_mar_foreign_trade_1			ovn_mar_the_wasteland	wh_main_PLACEHOLDER	hkrul_mar_slaves	false	rhox_mar_foreign_trade_1	true
rhox_mar_emp_walls_1			wh_main_emp_marienburg	wh_main_PLACEHOLDER	empire_walls	false	wh_main_emp_walls_1	true
rhox_mar_emp_walls_2			wh_main_emp_marienburg	wh_main_PLACEHOLDER	empire_walls	false	wh_main_emp_walls_2	true
rhox_mar_emp_walls_3			wh_main_emp_marienburg	wh_main_PLACEHOLDER	empire_walls	false	wh_main_emp_walls_3	true
rhox_egmond_emp_walls_1			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	empire_walls	false	wh_main_emp_walls_1	true
rhox_egmond_emp_walls_2			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	empire_walls	false	wh_main_emp_walls_2	true
rhox_egmond_emp_walls_3			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	empire_walls	false	wh_main_emp_walls_3	true
rhox_mar_emp_garrison_1			wh_main_emp_marienburg	wh_main_PLACEHOLDER	empire_garrison	false	wh_main_emp_garrison_1	true
rhox_mar_emp_garrison_2			wh_main_emp_marienburg	wh_main_PLACEHOLDER	empire_garrison	false	wh_main_emp_garrison_2	true
rhox_egmond_emp_garrison_1			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	empire_garrison	false	wh_main_emp_garrison_1	true
rhox_egmond_emp_garrison_2			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	empire_garrison	false	wh_main_emp_garrison_2	true
wh_main_emp_walls_1			wh_main_emp_marienburg	wh_main_PLACEHOLDER	empire_walls	true	wh_main_emp_walls_1	true
wh_main_emp_walls_2			wh_main_emp_marienburg	wh_main_PLACEHOLDER	empire_walls	true	wh_main_emp_walls_2	true
wh_main_emp_walls_3			wh_main_emp_marienburg	wh_main_PLACEHOLDER	empire_walls	true	wh_main_emp_walls_3	true
wh_main_emp_walls_1			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	empire_walls	true	wh_main_emp_walls_1	true
wh_main_emp_walls_2			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	empire_walls	true	wh_main_emp_walls_2	true
wh_main_emp_walls_3			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	empire_walls	true	wh_main_emp_walls_3	true
wh_main_emp_garrison_1			wh_main_emp_marienburg	wh_main_PLACEHOLDER	empire_garrison	true	wh_main_emp_garrison_1	true
wh_main_emp_garrison_2			wh_main_emp_marienburg	wh_main_PLACEHOLDER	empire_garrison	true	wh_main_emp_garrison_2	true
wh_main_emp_garrison_1			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	empire_garrison	true	wh_main_emp_garrison_1	true
wh_main_emp_garrison_2			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	empire_garrison	true	wh_main_emp_garrison_2	true
wh3_main_emp_allied_outpost_1			wh_main_emp_marienburg	wh_main_PLACEHOLDER	war_coordination_outpost	true	wh3_main_emp_allied_outpost_1	true
wh3_main_emp_allied_outpost_2			wh_main_emp_marienburg	wh_main_PLACEHOLDER	war_coordination_outpost	true	wh3_main_emp_allied_outpost_2	true
wh3_main_emp_allied_outpost_3			wh_main_emp_marienburg	wh_main_PLACEHOLDER	war_coordination_outpost	true	wh3_main_emp_allied_outpost_3	true
rhox_mar_emp_allied_outpost_1			wh_main_emp_marienburg	wh_main_PLACEHOLDER	war_coordination_outpost	false	wh3_main_emp_allied_outpost_1	true
rhox_mar_emp_allied_outpost_2			wh_main_emp_marienburg	wh_main_PLACEHOLDER	war_coordination_outpost	false	wh3_main_emp_allied_outpost_2	true
rhox_mar_emp_allied_outpost_3			wh_main_emp_marienburg	wh_main_PLACEHOLDER	war_coordination_outpost	false	wh3_main_emp_allied_outpost_3	true
wh3_main_emp_allied_outpost_1			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	war_coordination_outpost	true	wh3_main_emp_allied_outpost_1	true
wh3_main_emp_allied_outpost_2			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	war_coordination_outpost	true	wh3_main_emp_allied_outpost_2	true
wh3_main_emp_allied_outpost_3			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	war_coordination_outpost	true	wh3_main_emp_allied_outpost_3	true
rhox_egmond_emp_allied_outpost_1			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	war_coordination_outpost	false	wh3_main_emp_allied_outpost_1	true
rhox_egmond_emp_allied_outpost_2			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	war_coordination_outpost	false	wh3_main_emp_allied_outpost_2	true
rhox_egmond_emp_allied_outpost_3			ovn_mar_house_den_euwe	wh_main_PLACEHOLDER	war_coordination_outpost	false	wh3_main_emp_allied_outpost_3	true
