campaign_group	rebel_faction	weight
#campaign_group_rebel_faction_probabilities_tables;1;db/campaign_group_rebel_faction_probabilities_tables/rhox_mar_vanilla		
wh2_dlc09_feature_tomb_kings	ovn_mar_house_de_roelef_rebel	0.0000
wh2_dlc11_feature_vampire_coast	ovn_mar_house_de_roelef_rebel	0.0000
wh2_main_feature_dark_elves	ovn_mar_house_de_roelef_rebel	0.0000
wh2_main_feature_high_elves	ovn_mar_house_de_roelef_rebel	0.0000
wh2_main_feature_lizardmen	ovn_mar_house_de_roelef_rebel	0.0000
wh2_main_feature_rogue_armies	ovn_mar_house_de_roelef_rebel	0.0000
wh2_main_feature_skaven	ovn_mar_house_de_roelef_rebel	0.0000
wh3_dlc23_feature_chaos_dwarfs	ovn_mar_house_de_roelef_rebel	0.0000
wh3_main_feature_cathay	ovn_mar_house_de_roelef_rebel	0.0000
wh3_main_feature_daemons	ovn_mar_house_de_roelef_rebel	0.0000
wh3_main_feature_khorne	ovn_mar_house_de_roelef_rebel	0.0000
wh3_main_feature_kislev	ovn_mar_house_de_roelef_rebel	0.0000
wh3_main_feature_nurgle	ovn_mar_house_de_roelef_rebel	0.0000
wh3_main_feature_ogre_kingdoms	ovn_mar_house_de_roelef_rebel	0.0000
wh3_main_feature_slaanesh	ovn_mar_house_de_roelef_rebel	0.0000
wh3_main_feature_tzeentch	ovn_mar_house_de_roelef_rebel	0.0000
wh_dlc05_feature_wood_elves	ovn_mar_house_de_roelef_rebel	0.0000
wh_dlc08_feature_norsca	ovn_mar_house_de_roelef_rebel	0.0000
wh_main_feature_bretonnia	ovn_mar_house_de_roelef_rebel	0.0000
wh_main_feature_chaos	ovn_mar_house_de_roelef_rebel	0.0000
wh_main_feature_dwarfs	ovn_mar_house_de_roelef_rebel	0.0000
wh_main_feature_empire	ovn_mar_house_de_roelef_rebel	0.0000
wh_main_feature_greenskins	ovn_mar_house_de_roelef_rebel	0.0000
wh_main_feature_vampire_counts	ovn_mar_house_de_roelef_rebel	0.0000
wh2_dlc09_feature_tomb_kings	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh2_dlc11_feature_vampire_coast	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh2_main_feature_dark_elves	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh2_main_feature_high_elves	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh2_main_feature_lizardmen	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh2_main_feature_rogue_armies	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh2_main_feature_skaven	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh3_dlc23_feature_chaos_dwarfs	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh3_main_feature_cathay	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh3_main_feature_daemons	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh3_main_feature_khorne	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh3_main_feature_kislev	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh3_main_feature_nurgle	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh3_main_feature_ogre_kingdoms	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh3_main_feature_slaanesh	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh3_main_feature_tzeentch	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh_dlc05_feature_wood_elves	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh_dlc08_feature_norsca	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh_main_feature_bretonnia	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh_main_feature_chaos	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh_main_feature_dwarfs	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh_main_feature_empire	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh_main_feature_greenskins	ovn_mar_house_van_den_nijmenk_rebel	0.0000
wh_main_feature_vampire_counts	ovn_mar_house_van_den_nijmenk_rebel	0.0000
