campaign_group	unique_agent	base_charges
#campaign_group_unique_agents_tables;0;db/campaign_group_unique_agents_tables/hkrul_mar		
wh_main_feature_empire	hkrul_pg	1
wh_main_feature_empire	hkrul_jk	1
wh_main_feature_empire	hkrul_hendrik	1
wh_main_feature_empire	hkrul_solkan	1
wh_main_feature_empire	hkrul_crispijn	1
wh_main_feature_empire	hkrul_mar_egmond	1
wh_main_feature_empire	hkrul_guzunda	1
wh_main_feature_vampire_counts	hkrul_alicia	1
wh_main_feature_vampire_counts	hkrul_mar_munvard	1
wh_main_feature_empire	hkrul_lisette	1
wh_main_feature_empire	hkrul_cross	1
wh_main_feature_empire	hkrul_harb	1
wh_main_feature_empire	wh3_dlc24_tze_aekold_helbrass	0
