faction	stance
#campaign_stances_factions_junctions_tables;0;db/campaign_stances_factions_junctions_tables/hkrul_marienburg_supplement	
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID
ovn_mar_cult_of_manann	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP
ovn_mar_house_fooger	MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING
rhox_rogue_spirits_of_stromfel	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
rhox_rogue_spirits_of_stromfel	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
rhox_rogue_spirits_of_stromfel	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
rhox_rogue_spirits_of_stromfel	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
rhox_rogue_spirits_of_stromfel	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
rhox_rogue_spirits_of_stromfel	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
rhox_rogue_spirits_of_stromfel	MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL
rhox_rogue_spirits_of_stromfel	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID
rhox_rogue_spirits_of_stromfel	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
rhox_rogue_spirits_of_stromfel	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
