choice_key	dilemma_key	associated_audio_trigger
#cdir_events_dilemma_choice_details_tables;3;db/cdir_events_dilemma_choice_details_tables/rhox_mar		
FIRST	rhox_mar_dilemma_cth_caravan_1A	
SECOND	rhox_mar_dilemma_cth_caravan_1A	
FIRST	rhox_mar_dilemma_cth_caravan_1B	
SECOND	rhox_mar_dilemma_cth_caravan_1B	
FIRST	rhox_mar_dilemma_cth_caravan_2A	
SECOND	rhox_mar_dilemma_cth_caravan_2A	
FIRST	rhox_mar_dilemma_cth_caravan_2B	
SECOND	rhox_mar_dilemma_cth_caravan_2B	
FIRST	rhox_mar_dilemma_cth_caravan_3A	
SECOND	rhox_mar_dilemma_cth_caravan_3A	
FIRST	rhox_mar_dilemma_cth_caravan_3B	
SECOND	rhox_mar_dilemma_cth_caravan_3B	
FIRST	rhox_mar_dilemma_cth_caravan_4A	
SECOND	rhox_mar_dilemma_cth_caravan_4A	
FIRST	rhox_mar_dilemma_cth_caravan_4B	
SECOND	rhox_mar_dilemma_cth_caravan_4B	
FIRST	rhox_mar_dilemma_cth_caravan_5	
SECOND	rhox_mar_dilemma_cth_caravan_5	
FIRST	rhox_mar_dilemma_cth_caravan_battle_1A	
SECOND	rhox_mar_dilemma_cth_caravan_battle_1A	
FIRST	rhox_mar_dilemma_cth_caravan_battle_1B	
SECOND	rhox_mar_dilemma_cth_caravan_battle_1B	
FIRST	rhox_mar_dilemma_cth_caravan_battle_2A	
SECOND	rhox_mar_dilemma_cth_caravan_battle_2A	
FIRST	rhox_mar_dilemma_cth_caravan_battle_2B	
SECOND	rhox_mar_dilemma_cth_caravan_battle_2B	
FIRST	rhox_mar_dilemma_cth_caravan_battle_3	
SECOND	rhox_mar_dilemma_cth_caravan_battle_3	
FIRST	rhox_mar_dilemma_cth_caravan_battle_4	
SECOND	rhox_mar_dilemma_cth_caravan_battle_4	
FIRST	rhox_mar_confederation_dilemma	
SECOND	rhox_mar_confederation_dilemma	
THIRD	rhox_mar_confederation_dilemma	
FIRST	rhox_mar_mundvard_ultimatum_dilemma	
SECOND	rhox_mar_mundvard_ultimatum_dilemma	
FIRST	rhox_mar_egmond_choose_side	
SECOND	rhox_mar_egmond_choose_side	
FIRST	rhox_mar_dilemma_burgerhof	
SECOND	rhox_mar_dilemma_burgerhof	
FIRST	rhox_mar_dilemma_final_reward	
SECOND	rhox_mar_dilemma_final_reward	
FIRST	rhox_mar_mundvard_dilemma_cathay_caravan	
SECOND	rhox_mar_mundvard_dilemma_cathay_caravan	
FIRST	rhox_mar_mundvard_dilemma_dwarfs	
SECOND	rhox_mar_mundvard_dilemma_dwarfs	
FIRST	rhox_mar_mundvard_dilemma_far_from_home	
SECOND	rhox_mar_mundvard_dilemma_far_from_home	
FIRST	rhox_mar_mundvard_dilemma_fresh_battlefield	
SECOND	rhox_mar_mundvard_dilemma_fresh_battlefield	
FIRST	rhox_mar_mundvard_dilemma_hungry_daemons	
SECOND	rhox_mar_mundvard_dilemma_hungry_daemons	
FIRST	rhox_mar_mundvard_dilemma_localised_elfs	
SECOND	rhox_mar_mundvard_dilemma_localised_elfs	
FIRST	rhox_mar_mundvard_dilemma_offence_or_defence	
SECOND	rhox_mar_mundvard_dilemma_offence_or_defence	
FIRST	rhox_mar_mundvard_dilemma_ogre_mercenaries	
SECOND	rhox_mar_mundvard_dilemma_ogre_mercenaries	
FIRST	rhox_mar_mundvard_dilemma_portals_part_1	
SECOND	rhox_mar_mundvard_dilemma_portals_part_1	
FIRST	rhox_mar_mundvard_dilemma_portals_part_2	
SECOND	rhox_mar_mundvard_dilemma_portals_part_2	
FIRST	rhox_mar_mundvard_dilemma_portals_part_3_a	
SECOND	rhox_mar_mundvard_dilemma_portals_part_3_a	
FIRST	rhox_mar_mundvard_dilemma_power_overwhelming	
SECOND	rhox_mar_mundvard_dilemma_power_overwhelming	
FIRST	rhox_mar_mundvard_dilemma_quick_way_down	
SECOND	rhox_mar_mundvard_dilemma_quick_way_down	
FIRST	rhox_mar_mundvard_dilemma_rats_in_a_tunnel	
SECOND	rhox_mar_mundvard_dilemma_rats_in_a_tunnel	
FIRST	rhox_mar_mundvard_dilemma_redeadify	
SECOND	rhox_mar_mundvard_dilemma_redeadify	
FIRST	rhox_mar_mundvard_dilemma_the_ambush	
SECOND	rhox_mar_mundvard_dilemma_the_ambush	
FIRST	rhox_mar_mundvard_dilemma_the_guide	
SECOND	rhox_mar_mundvard_dilemma_the_guide	
FIRST	rhox_mar_mundvard_dilemma_trading_dark_elfs	
SECOND	rhox_mar_mundvard_dilemma_trading_dark_elfs	
FIRST	rhox_mar_mundvard_dilemma_training_camp	
SECOND	rhox_mar_mundvard_dilemma_training_camp	
FIRST	rhox_mar_mundvard_dilemma_way_of_lava	
SECOND	rhox_mar_mundvard_dilemma_way_of_lava	
