id	incident_key	payload_key	value	target_key
#cdir_events_incident_payloads_tables;2;db/cdir_events_incident_payloads_tables/hkrul_mar				
223737795	hkrul_mar_caravan_completed	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
223737796	hkrul_mar_caravan_completed_received	TREASURY	AMOUNT[3000]	default
223737797	hkrul_mar_caravan_completed_tilea	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_caravan_grant_of_land]	default
223737798	hkrul_mar_caravan_completed_frozen_landing	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_caravan_frost_wyrm_skull]	default
223737799	hkrul_mar_caravan_completed_castle_drakenhof	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_caravan_von_carstein_blade]	default
223737800	hkrul_mar_caravan_completed_marienburg	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_caravan_warrant_of_trade]	default
223737801	hkrul_mar_caravan_completed_ind	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_caravan_bejewelled_dagger]	default
223737802	hkrul_mar_caravan_completed_erengrad	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_caravan_gryphon_legion_lance]	default
223737803	hkrul_mar_caravan_completed_stone_bay	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_caravan_sky_titan_relic]	default
223737804	hkrul_mar_caravan_completed_zharr_nagrund	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_caravan_statue_of_zharr]	default
223737805	hkrul_mar_caravan_completed_novchozy	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_caravan_frozen_pendant]	default
223737806	hkrul_mar_caravan_completed_altdorf	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_caravan_luminark_lens]	default
223737807	hkrul_mar_caravan_completed_estalia	ADD_ANCILLARY	ANCILLARY_KEY[wh3_main_anc_caravan_spy_in_court]	default
