group_key	unit_key	quality
#cdir_military_generator_unit_qualities_tables;1;db/cdir_military_generator_unit_qualities_tables/hkrul_camille		
wh3_default_land_characters	hkrul_dauphine	10
wh3_default_land_monsters_flanking_strong	ovn_mar_mon_augas_fish_summoned_0	12
wh3_default_land_monsters_flanking_strong	ovn_mar_mon_augas_fish_summoned_1	12
wh3_default_land_characters	ovn_mar_cha_wizard_sea_1	10
wh3_default_land_characters	ovn_mar_cha_wizard_sea_2	10
wh3_default_land_characters	ovn_mar_cha_wizard_sea_0	10
wh3_default_land_characters	hkrul_dauphine_1	10
wh3_default_land_characters	hkrul_dauphine_2	10
wh3_default_land_characters	hkrul_dauphine_3	10
wh3_default_land_melee_infantry_main_flanking	hkrul_manann_flagellant	1
wh3_default_land_characters	hkrul_arbatt	10
wh3_default_land_characters	hkrul_arbatt_horse	10
wh3_default_land_characters	hkrul_arbatt_pegasus	10
wh3_default_land_melee_infantry_main_frontline_swords	hkrul_mar_knights_mariner	3
wh3_default_land_melee_infantry_main_frontline_spears_high_quality	ovn_mar_inf_knights_mariner_0	9
wh3_default_land_monsters_flanking_strong	ovn_mar_mon_augas_fish_0	12
wh3_default_land_monsters_flanking_strong	ovn_mar_mon_augas_fish_1	12
wh3_default_land_melee_infantry_main_flanking	urg_dae_inf_sphenisci_daemon	1
wh3_default_land_melee_infantry_main_flanking	urg_kho_inf_sphenisci_daemon	1
wh3_default_land_melee_infantry_main_flanking	urg_nur_inf_sphenisci_daemon	1
wh3_default_land_melee_infantry_main_flanking	urg_sla_inf_sphenisci_daemon	1
wh3_default_land_melee_infantry_main_flanking	urg_tze_inf_sphenisci_daemon	1
