character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/hkrul_arbatt				
rhox_mar_arbatt_inate	hkrul_charge_defence_manann	1	character_to_force_own_unseen	1.0000
rhox_mar_arbatt_inate	wh_main_effect_character_stat_melee_attack	1	character_to_force_own_unseen	6.0000
rhox_mar_arbatt_inate	wh2_dlc11_enable_immortal_hidden	1	character_to_character_own	1.0000
hkrul_arbatt_special_1_0	hkrul_mariners_knights_cap	1	character_to_faction_unseen	2.0000
hkrul_arbatt_special_1_0	hkrul_mar_md_sea	1	character_to_force_own	5.0000
hkrul_arbatt_special_1_0	hkrul_mariners_knights_cap	2	character_to_faction_unseen	4.0000
hkrul_arbatt_special_1_0	hkrul_mar_md_sea	2	character_to_force_own	10.0000
hkrul_arbatt_special_1_1	ovn_effect_magic_sea_wom_cost_fishermans_eye	1	character_to_character_own_factionwide	-2.0000
hkrul_arbatt_special_1_1	ovn_effect_magic_sea_cooldown_fishermans_eye	1	character_to_character_own_factionwide	-15.0000
hkrul_arbatt_special_1_1	hkrul_mar_fish_defence	1	character_to_force_own_unseen	15.0000
hkrul_arbatt_special_1_2	wh_main_effect_character_stat_weapon_strength_ap_damage_mult	1	character_to_character_own	15.0000
hkrul_arbatt_special_1_2	wh_main_effect_character_stat_aura_leadership_effect	1	character_to_character_own	25.0000
hkrul_arbatt_special_1_3	hkrul_arbatt_scales	1	character_to_character_own	1.0000
hkrul_arbatt_special_1_4	wh_main_effect_character_mod_ancillary_drop	1	character_to_force_own_unseen	15.0000
hkrul_arbatt_special_1_4	wh_main_effect_agent_movement_range_mod	1	character_to_character_own	15.0000
hkrul_arbatt_special_1_5	wh_main_effect_force_stat_range	1	agent_to_parent_army_own	10.0000
hkrul_arbatt_special_1_5	wh_main_effect_force_stat_missile_damage	1	agent_to_parent_army_own	10.0000
hkrul_arbatt_horse	wh_main_effect_enable_mount_barded_warhorse	1	character_to_character_own	1.0000
hkrul_arbatt_pegasus	wh_main_effect_enable_mount_imperial_pegasus	1	character_to_character_own	1.0000
