child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
#character_skill_node_links_tables;3;db/character_skill_node_links_tables/hkrul_hendrik							
hkrul_hendrik_unique_1_2	hkrul_hendrik_unique_1_0	0	1	1	0.0000	0.0000	REQUIRED
hkrul_hendrik_unique_1_3	hkrul_hendrik_unique_1_0	0	1	1	0.0000	0.0000	REQUIRED
hkrul_hendrik_unique_2_0	hkrul_hendrik_unique_1_2	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
hkrul_hendrik_unique_2_0	hkrul_hendrik_unique_1_3	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
hkrul_hendrik_unique_2_1	hkrul_hendrik_unique_2_0	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
hkrul_hendrik_unique_2_3	hkrul_hendrik_unique_2_0	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
hkrul_hendrik_unique_3_0	hkrul_hendrik_unique_2_1	0	0	0	0.0000	0.0000	SUBSET_REQUIRED
hkrul_hendrik_unique_3_0	hkrul_hendrik_unique_2_3	0	0	0	0.0000	0.0000	SUBSET_REQUIRED
hkrul_hendrik_self_03	hkrul_hendrik_self_01	0	1	1	0.0000	0.0000	REQUIRED
hkrul_hendrik_self_04	hkrul_hendrik_self_01	0	1	1	0.0000	0.0000	REQUIRED
hkrul_hendrik_self_05	hkrul_hendrik_self_01	0	1	1	0.0000	0.0000	REQUIRED
hkrul_hendrik_self_06	hkrul_hendrik_self_02	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
hkrul_hendrik_self_06	hkrul_hendrik_self_03	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
hkrul_hendrik_self_06	hkrul_hendrik_self_05	0	1	1	0.0000	0.0000	SUBSET_REQUIRED
hkrul_hendrik_self_07	hkrul_hendrik_self_06	0	1	1	0.0000	0.0000	REQUIRED
hkrul_hendrik_self_08	hkrul_hendrik_self_06	0	1	1	0.0000	0.0000	REQUIRED
hkrul_hendrik_self_09	hkrul_hendrik_self_06	0	1	1	0.0000	0.0000	REQUIRED
hkrul_hendrik_self_10	hkrul_hendrik_self_06	0	1	1	0.0000	0.0000	REQUIRED
