ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/rhox_fooger	
wh3_main_unit_passive_single_entity	hkrul_fooger
hkrul_mar_smith	hkrul_fooger
wh_main_character_abilities_foe_seeker	hkrul_fooger
wh_main_lord_passive_hold_the_line	hkrul_fooger
wh_main_character_abilities_rally	hkrul_fooger
wh3_main_unit_passive_single_entity	hkrul_fooger_caravan_master
wh_main_character_abilities_foe_seeker	hkrul_fooger_caravan_master
wh_main_character_abilities_stand_your_ground	hkrul_fooger_caravan_master
wh3_main_unit_passive_single_entity	hkrul_fooger_dwarf_lord
wh_main_character_abilities_foe_seeker	hkrul_fooger_dwarf_lord
wh_main_character_abilities_stand_your_ground	hkrul_fooger_dwarf_lord
wh_main_character_abilities_foe_seeker	hkrul_ogg
wh_main_character_abilities_deadly_onslaught	hkrul_ogg
wh_main_character_abilities_foe_seeker	hkrul_paldee
wh_main_character_abilities_deadly_onslaught	hkrul_paldee
wh3_main_unit_passive_single_entity	hkrul_ogg
wh3_main_unit_passive_single_entity	hkrul_paldee
wh_main_character_abilities_foe_seeker	hkrul_rasha
wh_main_character_abilities_deadly_onslaught	hkrul_rasha
wh3_main_unit_passive_single_entity	hkrul_rasha
hkrul_ogg_aim	hkrul_ogg
hkrul_paldee_hammer	hkrul_paldee
hkrul_rasha_sword	hkrul_rasha
