region	region_group	order
#regions_to_region_groups_junctions_tables;0;db/regions_to_region_groups_junctions_tables/hkrul_mar		
wh3_main_combi_region_dawns_light	ovn_dekuypers_network_the_churning_gulf-fortress_of_dawn	1
wh3_main_combi_region_fortress_of_dawn	ovn_dekuypers_network_the_churning_gulf-fortress_of_dawn	2
wh3_main_combi_region_sorcerers_islands	ovn_dekuypers_network_shark_straights-lashiek	1
wh3_main_combi_region_lashiek	ovn_dekuypers_network_shark_straights-lashiek	2
wh3_main_combi_region_dai_cheng	ovn_dekuypers_network_serpent_river-dai_cheng	1
wh3_main_combi_region_fu_hung	ovn_dekuypers_network_eastern_sea_of_dread-fu_hung	1
wh3_main_combi_region_haichai	ovn_dekuypers_network_northern_straits_of_the_jade_sea-beichai	1
wh3_main_combi_region_beichai	ovn_dekuypers_network_northern_straits_of_the_jade_sea-beichai	2
wh3_main_combi_region_haichai	ovn_dekuypers_network_northern_straits_of_the_jade_sea-haichai	1
wh3_main_combi_region_li_zhu	ovn_dekuypers_network_red_river-fu_chow	1
wh3_main_combi_region_fu_chow	ovn_dekuypers_network_red_river-fu_chow	2
wh3_main_combi_region_plain_of_tuskers	ovn_dekuypers_network_gulf_of_medes-sudenburg	1
wh3_main_combi_region_sudenburg	ovn_dekuypers_network_gulf_of_medes-sudenburg	2
wh3_main_combi_region_lothern	ovn_dekuypers_network_straits_of_lothern-lothern	1
wh3_main_combi_region_dai_cheng	ovn_dekuypers_network_serpent_river-the_jade_sea	1
wh3_main_combi_region_li_zhu	ovn_dekuypers_network_the_jade_sea-red_river	1
wh3_main_combi_region_fu_chow	ovn_dekuypers_network_the_jade_sea-red_river	2
wh3_main_combi_region_marienburg	ovn_dekuypers_network_marienburg-river_reik	1
wh3_main_combi_region_altdorf	ovn_dekuypers_network_river_reik-altdorf	1
wh3_main_combi_region_fu_hung	ovn_dekuypers_network_eastern_sea_of_dread-great_canal	1
wh3_main_combi_region_bamboo_crossing	ovn_dekuypers_network_eastern_sea_of_dread-great_canal	2
wh3_main_combi_region_troll_fjord	ovn_dekuypers_network_straights_of_chaos-karond_kar	1
wh3_main_combi_region_karond_kar	ovn_dekuypers_network_straights_of_chaos-karond_kar	2
wh3_main_combi_region_marienburg	ovn_dekuypers_network_marienburg-southern_sea_of_chaos	1
wh3_main_combi_region_wreckers_point	ovn_dekuypers_network_marienburg-southern_sea_of_chaos	2
wh3_main_combi_region_pack_ice_bay	ovn_dekuypers_network_marienburg-southern_sea_of_chaos	3
wh3_main_combi_region_wreckers_point	ovn_dekuypers_network_southern_sea_of_chaos-sea_of_claws	1
wh3_main_combi_region_pack_ice_bay	ovn_dekuypers_network_southern_sea_of_chaos-sea_of_claws	2
wh3_main_combi_region_dietershafen	ovn_dekuypers_network_southern_sea_of_chaos-sea_of_claws	3
wh3_main_combi_region_altar_of_the_crimson_harvest	ovn_dekuypers_network_southern_sea_of_chaos-sea_of_claws	4
wh3_main_combi_region_longship_graveyard	ovn_dekuypers_network_southern_sea_of_chaos-sea_of_claws	5
wh3_main_combi_region_wreckers_point	ovn_dekuypers_network_southern_sea_of_chaos-the_albion_channel	1
wh3_main_combi_region_pack_ice_bay	ovn_dekuypers_network_southern_sea_of_chaos-the_albion_channel	2
wh3_main_combi_region_isle_of_wights	ovn_dekuypers_network_southern_sea_of_chaos-the_albion_channel	3
wh3_main_combi_region_languille	ovn_dekuypers_network_southern_sea_of_chaos-the_albion_channel	4
wh3_main_combi_region_wreckers_point	ovn_dekuypers_network_southern_sea_of_chaos-straights_of_chaos	1
wh3_main_combi_region_pack_ice_bay	ovn_dekuypers_network_southern_sea_of_chaos-straights_of_chaos	2
wh3_main_combi_region_troll_fjord	ovn_dekuypers_network_southern_sea_of_chaos-straights_of_chaos	3
wh3_main_combi_region_dietershafen	ovn_dekuypers_network_sea_of_claws-gulf_of_kislev	1
wh3_main_combi_region_altar_of_the_crimson_harvest	ovn_dekuypers_network_sea_of_claws-gulf_of_kislev	2
wh3_main_combi_region_longship_graveyard	ovn_dekuypers_network_sea_of_claws-gulf_of_kislev	3
wh3_main_combi_region_bay_of_blades	ovn_dekuypers_network_sea_of_claws-gulf_of_kislev	4
wh3_main_combi_region_castle_alexandronov	ovn_dekuypers_network_sea_of_claws-gulf_of_kislev	5
wh3_main_combi_region_norden	ovn_dekuypers_network_sea_of_claws-gulf_of_kislev	6
wh3_main_combi_region_bay_of_blades	ovn_dekuypers_network_gulf_of_kislev-erengrad	1
wh3_main_combi_region_castle_alexandronov	ovn_dekuypers_network_gulf_of_kislev-erengrad	2
wh3_main_combi_region_norden	ovn_dekuypers_network_gulf_of_kislev-erengrad	3
wh3_main_combi_region_erengrad	ovn_dekuypers_network_gulf_of_kislev-erengrad	4
wh3_main_combi_region_isle_of_wights	ovn_dekuypers_network_the_albion_channel-the_mistnar_crossing	1
wh3_main_combi_region_languille	ovn_dekuypers_network_the_albion_channel-the_mistnar_crossing	2
wh3_main_combi_region_mistnar	ovn_dekuypers_network_the_albion_channel-the_mistnar_crossing	3
wh3_main_combi_region_tor_koruali	ovn_dekuypers_network_the_albion_channel-the_mistnar_crossing	4
wh3_main_combi_region_lyonesse	ovn_dekuypers_network_the_albion_channel-the_mistnar_crossing	5
wh3_main_combi_region_mousillon	ovn_dekuypers_network_the_albion_channel-the_mistnar_crossing	6
wh3_main_combi_region_isle_of_wights	ovn_dekuypers_network_the_albion_channel-the_forbidding_coast	1
wh3_main_combi_region_languille	ovn_dekuypers_network_the_albion_channel-the_forbidding_coast	2
wh3_main_combi_region_karond_kar	ovn_dekuypers_network_the_albion_channel-the_forbidding_coast	3
wh3_main_combi_region_slavers_point	ovn_dekuypers_network_the_albion_channel-the_forbidding_coast	4
wh3_main_combi_region_the_twisted_glade	ovn_dekuypers_network_the_albion_channel-the_forbidding_coast	5
wh3_main_combi_region_mistnar	ovn_dekuypers_network_the_mistnar_crossing-bordeleaux	1
wh3_main_combi_region_tor_koruali	ovn_dekuypers_network_the_mistnar_crossing-bordeleaux	2
wh3_main_combi_region_lyonesse	ovn_dekuypers_network_the_mistnar_crossing-bordeleaux	3
wh3_main_combi_region_mousillon	ovn_dekuypers_network_the_mistnar_crossing-bordeleaux	4
wh3_main_combi_region_bordeleaux	ovn_dekuypers_network_the_mistnar_crossing-bordeleaux	5
wh3_main_combi_region_mistnar	ovn_dekuypers_network_the_mistnar_crossing-middle_sea	1
wh3_main_combi_region_tor_koruali	ovn_dekuypers_network_the_mistnar_crossing-middle_sea	2
wh3_main_combi_region_lyonesse	ovn_dekuypers_network_the_mistnar_crossing-middle_sea	3
wh3_main_combi_region_mousillon	ovn_dekuypers_network_the_mistnar_crossing-middle_sea	4
wh3_main_combi_region_bordeleaux	ovn_dekuypers_network_the_mistnar_crossing-middle_sea	5
wh3_main_combi_region_brionne	ovn_dekuypers_network_the_mistnar_crossing-middle_sea	6
wh3_main_combi_region_slavers_point	ovn_dekuypers_network_the_forbidding_coast-karond_kar	1
wh3_main_combi_region_the_twisted_glade	ovn_dekuypers_network_the_forbidding_coast-karond_kar	2
wh3_main_combi_region_karond_kar	ovn_dekuypers_network_the_forbidding_coast-karond_kar	3
wh3_main_combi_region_slavers_point	ovn_dekuypers_network_the_forbidding_coast-sunken_lands	1
wh3_main_combi_region_the_twisted_glade	ovn_dekuypers_network_the_forbidding_coast-sunken_lands	2
wh3_main_combi_region_karond_kar	ovn_dekuypers_network_the_forbidding_coast-sunken_lands	3
wh3_main_combi_region_tor_dranil	ovn_dekuypers_network_the_forbidding_coast-sunken_lands	4
wh3_main_combi_region_bordeleaux	ovn_dekuypers_network_middle_sea-the_estalia_coastline	1
wh3_main_combi_region_brionne	ovn_dekuypers_network_middle_sea-the_estalia_coastline	2
wh3_main_combi_region_bilbali	ovn_dekuypers_network_middle_sea-the_estalia_coastline	3
wh3_main_combi_region_nuja	ovn_dekuypers_network_middle_sea-the_estalia_coastline	4
wh3_main_combi_region_magritta	ovn_dekuypers_network_middle_sea-the_estalia_coastline	5
wh3_main_combi_region_bordeleaux	ovn_dekuypers_network_middle_sea-shifting_isles	1
wh3_main_combi_region_brionne	ovn_dekuypers_network_middle_sea-shifting_isles	2
wh3_main_combi_region_tralinia	ovn_dekuypers_network_middle_sea-shifting_isles	3
wh3_main_combi_region_elessaeli	ovn_dekuypers_network_middle_sea-shifting_isles	4
wh3_main_combi_region_shrine_of_loec	ovn_dekuypers_network_middle_sea-shifting_isles	5
wh3_main_combi_region_bilbali	ovn_dekuypers_network_the_estalia_coastline-magritta	1
wh3_main_combi_region_nuja	ovn_dekuypers_network_the_estalia_coastline-magritta	2
wh3_main_combi_region_magritta	ovn_dekuypers_network_the_estalia_coastline-magritta	3
wh3_main_combi_region_bilbali	ovn_dekuypers_network_the_estalia_coastline-tilean_sea	1
wh3_main_combi_region_nuja	ovn_dekuypers_network_the_estalia_coastline-tilean_sea	2
wh3_main_combi_region_magritta	ovn_dekuypers_network_the_estalia_coastline-tilean_sea	3
wh3_main_combi_region_tobaro	ovn_dekuypers_network_the_estalia_coastline-tilean_sea	4
wh3_main_combi_region_miragliano	ovn_dekuypers_network_the_estalia_coastline-tilean_sea	5
wh3_main_combi_region_luccini	ovn_dekuypers_network_the_estalia_coastline-tilean_sea	6
wh3_main_combi_region_bilbali	ovn_dekuypers_network_the_estalia_coastline-shark_straights	1
wh3_main_combi_region_nuja	ovn_dekuypers_network_the_estalia_coastline-shark_straights	2
wh3_main_combi_region_magritta	ovn_dekuypers_network_the_estalia_coastline-shark_straights	3
wh3_main_combi_region_sorcerers_islands	ovn_dekuypers_network_the_estalia_coastline-shark_straights	4
wh3_main_combi_region_lashiek	ovn_dekuypers_network_the_estalia_coastline-shark_straights	5
wh3_main_combi_region_tralinia	ovn_dekuypers_network_shifting_isles-straits_of_lothern	1
wh3_main_combi_region_elessaeli	ovn_dekuypers_network_shifting_isles-straits_of_lothern	2
wh3_main_combi_region_shrine_of_loec	ovn_dekuypers_network_shifting_isles-straits_of_lothern	3
wh3_main_combi_region_lothern	ovn_dekuypers_network_shifting_isles-straits_of_lothern	4
wh3_main_combi_region_tobaro	ovn_dekuypers_network_tilean_sea-the_pirate_coast	1
wh3_main_combi_region_miragliano	ovn_dekuypers_network_tilean_sea-the_pirate_coast	2
wh3_main_combi_region_luccini	ovn_dekuypers_network_tilean_sea-the_pirate_coast	3
wh3_main_combi_region_sartosa	ovn_dekuypers_network_tilean_sea-the_pirate_coast	4
wh3_main_combi_region_copher	ovn_dekuypers_network_tilean_sea-the_pirate_coast	5
wh3_main_combi_region_al_haikk	ovn_dekuypers_network_tilean_sea-the_pirate_coast	6
wh3_main_combi_region_zandri	ovn_dekuypers_network_tilean_sea-the_pirate_coast	7
wh3_main_combi_region_tobaro	ovn_dekuypers_network_tilean_sea-miragliano	1
wh3_main_combi_region_miragliano	ovn_dekuypers_network_tilean_sea-miragliano	2
wh3_main_combi_region_luccini	ovn_dekuypers_network_tilean_sea-miragliano	3
wh3_main_combi_region_tobaro	ovn_dekuypers_network_tilean_sea-sartosa	1
wh3_main_combi_region_miragliano	ovn_dekuypers_network_tilean_sea-sartosa	2
wh3_main_combi_region_luccini	ovn_dekuypers_network_tilean_sea-sartosa	3
wh3_main_combi_region_sartosa	ovn_dekuypers_network_tilean_sea-sartosa	4
wh3_main_combi_region_sorcerers_islands	ovn_dekuypers_network_shark_straights-gulf_of_medes	1
wh3_main_combi_region_lashiek	ovn_dekuypers_network_shark_straights-gulf_of_medes	2
wh3_main_combi_region_sudenburg	ovn_dekuypers_network_shark_straights-gulf_of_medes	3
wh3_main_combi_region_plain_of_tuskers	ovn_dekuypers_network_shark_straights-gulf_of_medes	4
wh3_main_combi_region_sartosa	ovn_dekuypers_network_the_pirate_coast-shark_straights	1
wh3_main_combi_region_copher	ovn_dekuypers_network_the_pirate_coast-shark_straights	2
wh3_main_combi_region_al_haikk	ovn_dekuypers_network_the_pirate_coast-shark_straights	3
wh3_main_combi_region_zandri	ovn_dekuypers_network_the_pirate_coast-shark_straights	4
wh3_main_combi_region_sorcerers_islands	ovn_dekuypers_network_the_pirate_coast-shark_straights	5
wh3_main_combi_region_lashiek	ovn_dekuypers_network_the_pirate_coast-shark_straights	6
wh3_main_combi_region_sartosa	ovn_dekuypers_network_the_pirate_coast-the_black_gulf	1
wh3_main_combi_region_copher	ovn_dekuypers_network_the_pirate_coast-the_black_gulf	2
wh3_main_combi_region_al_haikk	ovn_dekuypers_network_the_pirate_coast-the_black_gulf	3
wh3_main_combi_region_zandri	ovn_dekuypers_network_the_pirate_coast-the_black_gulf	4
wh3_main_combi_region_myrmidens	ovn_dekuypers_network_the_pirate_coast-the_black_gulf	5
wh3_main_combi_region_gronti_mingol	ovn_dekuypers_network_the_pirate_coast-the_black_gulf	6
wh3_main_combi_region_stonemine_tower	ovn_dekuypers_network_the_pirate_coast-the_black_gulf	7
wh3_main_combi_region_matorca	ovn_dekuypers_network_the_pirate_coast-the_black_gulf	8
wh3_main_combi_region_barak_varr	ovn_dekuypers_network_the_pirate_coast-the_black_gulf	9
wh3_main_combi_region_myrmidens	ovn_dekuypers_network_the_black_gulf-barak_varr	1
wh3_main_combi_region_gronti_mingol	ovn_dekuypers_network_the_black_gulf-barak_varr	2
wh3_main_combi_region_stonemine_tower	ovn_dekuypers_network_the_black_gulf-barak_varr	3
wh3_main_combi_region_matorca	ovn_dekuypers_network_the_black_gulf-barak_varr	4
wh3_main_combi_region_barak_varr	ovn_dekuypers_network_the_black_gulf-barak_varr	5
wh3_main_combi_region_sartosa	ovn_dekuypers_network_the_pirate_coast-al_haikk	1
wh3_main_combi_region_copher	ovn_dekuypers_network_the_pirate_coast-al_haikk	2
wh3_main_combi_region_al_haikk	ovn_dekuypers_network_the_pirate_coast-al_haikk	3
wh3_main_combi_region_zandri	ovn_dekuypers_network_the_pirate_coast-al_haikk	4
wh3_main_combi_region_sartosa	ovn_dekuypers_network_the_pirate_coast-zandri	1
wh3_main_combi_region_copher	ovn_dekuypers_network_the_pirate_coast-zandri	2
wh3_main_combi_region_al_haikk	ovn_dekuypers_network_the_pirate_coast-zandri	3
wh3_main_combi_region_zandri	ovn_dekuypers_network_the_pirate_coast-zandri	4
wh3_main_combi_region_sudenburg	ovn_dekuypers_network_gulf_of_medes-the_churning_gulf	1
wh3_main_combi_region_plain_of_tuskers	ovn_dekuypers_network_gulf_of_medes-the_churning_gulf	2
wh3_main_combi_region_fortress_of_dawn	ovn_dekuypers_network_gulf_of_medes-the_churning_gulf	3
wh3_main_combi_region_dawns_light	ovn_dekuypers_network_gulf_of_medes-the_churning_gulf	4
wh3_main_combi_region_myrmidens	ovn_dekuypers_network_the_black_gulf-myrmidens	1
wh3_main_combi_region_gronti_mingol	ovn_dekuypers_network_the_black_gulf-myrmidens	2
wh3_main_combi_region_stonemine_tower	ovn_dekuypers_network_the_black_gulf-myrmidens	3
wh3_main_combi_region_matorca	ovn_dekuypers_network_the_black_gulf-myrmidens	4
wh3_main_combi_region_barak_varr	ovn_dekuypers_network_the_black_gulf-myrmidens	5
wh3_main_combi_region_fortress_of_dawn	ovn_dekuypers_network_the_churning_gulf-serpent_coast_sea	1
wh3_main_combi_region_dawns_light	ovn_dekuypers_network_the_churning_gulf-serpent_coast_sea	2
wh3_main_combi_region_volulltrax	ovn_dekuypers_network_the_churning_gulf-serpent_coast_sea	3
wh3_main_combi_region_tor_elasor	ovn_dekuypers_network_the_eastern_isles-tower_of_the_sun	1
wh3_main_combi_region_tower_of_the_sun	ovn_dekuypers_network_the_eastern_isles-tower_of_the_sun	2
wh3_main_combi_region_tower_of_the_stars	ovn_dekuypers_network_the_eastern_isles-tower_of_the_sun	3
wh3_main_combi_region_volulltrax	ovn_dekuypers_network_serpent_coast_sea-the_eastern_isles	1
wh3_main_combi_region_tor_elasor	ovn_dekuypers_network_serpent_coast_sea-the_eastern_isles	2
wh3_main_combi_region_tower_of_the_sun	ovn_dekuypers_network_serpent_coast_sea-the_eastern_isles	3
wh3_main_combi_region_tower_of_the_stars	ovn_dekuypers_network_serpent_coast_sea-the_eastern_isles	4
wh3_main_combi_region_tor_elasor	ovn_dekuypers_network_the_eastern_isles-eastern_sea_of_dread	1
wh3_main_combi_region_tower_of_the_sun	ovn_dekuypers_network_the_eastern_isles-eastern_sea_of_dread	2
wh3_main_combi_region_tower_of_the_stars	ovn_dekuypers_network_the_eastern_isles-eastern_sea_of_dread	3
wh3_main_combi_region_lothern	ovn_dekuypers_network_straits_of_lothern-scorpion_coast	1
wh3_main_combi_region_skeggi	ovn_dekuypers_network_straits_of_lothern-scorpion_coast	2
wh3_main_combi_region_port_reaver	ovn_dekuypers_network_straits_of_lothern-scorpion_coast	3
wh3_main_combi_region_swamp_town	ovn_dekuypers_network_straits_of_lothern-scorpion_coast	4
wh3_main_combi_region_monument_of_the_moon	ovn_dekuypers_network_straits_of_lothern-scorpion_coast	5
wh3_main_combi_region_skeggi	ovn_dekuypers_network_scorpion_coast-port_reaver	1
wh3_main_combi_region_port_reaver	ovn_dekuypers_network_scorpion_coast-port_reaver	2
wh3_main_combi_region_swamp_town	ovn_dekuypers_network_scorpion_coast-port_reaver	3
wh3_main_combi_region_monument_of_the_moon	ovn_dekuypers_network_scorpion_coast-port_reaver	4
wh3_main_combi_region_skeggi	ovn_dekuypers_network_scorpion_coast-straits_of_fear	1
wh3_main_combi_region_port_reaver	ovn_dekuypers_network_scorpion_coast-straits_of_fear	2
wh3_main_combi_region_swamp_town	ovn_dekuypers_network_scorpion_coast-straits_of_fear	3
wh3_main_combi_region_monument_of_the_moon	ovn_dekuypers_network_scorpion_coast-straits_of_fear	4
wh3_main_combi_region_grey_rock_point	ovn_dekuypers_network_scorpion_coast-straits_of_fear	5
wh3_main_combi_region_ziggurat_of_dawn	ovn_dekuypers_network_scorpion_coast-straits_of_fear	6
wh3_main_combi_region_grey_rock_point	ovn_dekuypers_network_straits_of_fear-the_bleak_coast	1
wh3_main_combi_region_ziggurat_of_dawn	ovn_dekuypers_network_straits_of_fear-the_bleak_coast	2
wh3_main_combi_region_arnheim	ovn_dekuypers_network_straits_of_fear-the_bleak_coast	3
wh3_main_combi_region_the_moon_shard	ovn_dekuypers_network_straits_of_fear-the_bleak_coast	4
wh3_main_combi_region_tor_anroc	ovn_dekuypers_network_straits_of_fear-the_bleak_coast	5
wh3_main_combi_region_whitepeak	ovn_dekuypers_network_straits_of_fear-the_bleak_coast	6
wh3_main_combi_region_arnheim	ovn_dekuypers_network_the_bleak_coast-arnheim	1
wh3_main_combi_region_the_moon_shard	ovn_dekuypers_network_the_bleak_coast-arnheim	2
wh3_main_combi_region_tor_anroc	ovn_dekuypers_network_the_bleak_coast-arnheim	3
wh3_main_combi_region_whitepeak	ovn_dekuypers_network_the_bleak_coast-arnheim	4
wh3_main_combi_region_tor_dranil	ovn_dekuypers_network_sunken_lands-the_bleak_coast	1
wh3_main_combi_region_arnheim	ovn_dekuypers_network_sunken_lands-the_bleak_coast	2
wh3_main_combi_region_the_moon_shard	ovn_dekuypers_network_sunken_lands-the_bleak_coast	3
wh3_main_combi_region_tor_anroc	ovn_dekuypers_network_sunken_lands-the_bleak_coast	4
wh3_main_combi_region_whitepeak	ovn_dekuypers_network_sunken_lands-the_bleak_coast	5
wh3_main_combi_region_hanyu_port	ovn_dekuypers_network_great_river-serpent_river	1
wh3_main_combi_region_shi_long	ovn_dekuypers_network_great_river-serpent_river	2
wh3_main_combi_region_dai_cheng	ovn_dekuypers_network_great_river-serpent_river	3
wh3_main_combi_region_hanyu_port	ovn_dekuypers_network_great_canal-great_river	1
wh3_main_combi_region_shi_long	ovn_dekuypers_network_great_canal-great_river	2
wh3_main_combi_region_fu_hung	ovn_dekuypers_network_great_canal-great_river	3
wh3_main_combi_region_bamboo_crossing	ovn_dekuypers_network_great_canal-great_river	4
wh3_main_combi_region_li_zhu	ovn_dekuypers_network_red_river-northern_straits_of_the_jade_sea	1
wh3_main_combi_region_fu_chow	ovn_dekuypers_network_red_river-northern_straits_of_the_jade_sea	2
wh3_main_combi_region_haichai	ovn_dekuypers_network_red_river-northern_straits_of_the_jade_sea	3
wh3_main_combi_region_troll_fjord	ovn_dekuypers_network_straights_of_chaos-northern_sea_of_chaos	1
wh3_main_combi_region_fortress_of_the_damned	ovn_dekuypers_network_straights_of_chaos-northern_sea_of_chaos	2
wh3_main_combi_region_serpent_jetty	ovn_dekuypers_network_straights_of_chaos-northern_sea_of_chaos	3
wh3_main_combi_region_the_monolith_of_katam	ovn_dekuypers_network_straights_of_chaos-northern_sea_of_chaos	4
wh3_main_combi_region_the_folly_of_malofex	ovn_dekuypers_network_straights_of_chaos-northern_sea_of_chaos	5
wh3_main_combi_region_varg_camp	ovn_dekuypers_network_straights_of_chaos-northern_sea_of_chaos	6
wh3_main_combi_region_fortress_of_the_damned	ovn_dekuypers_network_northern_sea_of_chaos-kraken_sea	1
wh3_main_combi_region_serpent_jetty	ovn_dekuypers_network_northern_sea_of_chaos-kraken_sea	2
wh3_main_combi_region_the_monolith_of_katam	ovn_dekuypers_network_northern_sea_of_chaos-kraken_sea	3
wh3_main_combi_region_the_folly_of_malofex	ovn_dekuypers_network_northern_sea_of_chaos-kraken_sea	4
wh3_main_combi_region_varg_camp	ovn_dekuypers_network_northern_sea_of_chaos-kraken_sea	5
wh3_main_combi_region_monolith_of_flesh	ovn_dekuypers_network_northern_sea_of_chaos-kraken_sea	6
wh3_main_combi_region_bilious_cliffs	ovn_dekuypers_network_northern_sea_of_chaos-kraken_sea	7
wh3_main_combi_region_winter_pyre	ovn_dekuypers_network_northern_sea_of_chaos-kraken_sea	8
wh3_main_combi_region_monolith_of_flesh	ovn_dekuypers_network_kraken_sea-frozen_sea	1
wh3_main_combi_region_bilious_cliffs	ovn_dekuypers_network_kraken_sea-frozen_sea	2
wh3_main_combi_region_winter_pyre	ovn_dekuypers_network_kraken_sea-frozen_sea	3
wh3_main_combi_region_port_of_secrets	ovn_dekuypers_network_kraken_sea-frozen_sea	4
wh3_main_combi_region_sjoktraken	ovn_dekuypers_network_kraken_sea-frozen_sea	5
wh3_main_combi_region_frozen_landing	ovn_dekuypers_network_kraken_sea-frozen_sea	6
wh3_main_combi_region_port_of_secrets	ovn_dekuypers_network_frozen_sea-sjoktraken	1
wh3_main_combi_region_sjoktraken	ovn_dekuypers_network_frozen_sea-sjoktraken	2
wh3_main_combi_region_frozen_landing	ovn_dekuypers_network_frozen_sea-sjoktraken	3
wh3_main_combi_region_bay_of_blades	rhox_mar_mundvard_network_gulf_of_kislev-bay_of_blades	5
wh3_main_combi_region_fort_ostrosk	rhox_mar_mundvard_network_gulf_of_kislev-bay_of_blades	1
wh3_main_combi_region_fort_straghov	rhox_mar_mundvard_network_gulf_of_kislev-bay_of_blades	2
wh3_main_combi_region_the_tower_of_khrakk	rhox_mar_mundvard_network_gulf_of_kislev-bay_of_blades	4
wh3_main_combi_region_zoishenk	rhox_mar_mundvard_network_gulf_of_kislev-bay_of_blades	3
wh3_main_combi_region_al_haikk	rhox_mar_mundvard_network_shark_straights-sorcerers_islands	1
wh3_main_combi_region_lashiek	rhox_mar_mundvard_network_shark_straights-sorcerers_islands	2
wh3_main_combi_region_sorcerers_islands	rhox_mar_mundvard_network_shark_straights-sorcerers_islands	3
wh3_main_combi_region_vulture_mountain	rhox_mar_mundvard_network_shark_straights-sorcerers_islands	4
wh3_main_combi_region_wizard_caliphs_palace	rhox_mar_mundvard_network_shark_straights-sorcerers_islands	5
wh3_main_combi_region_serpent_jetty	rhox_mar_mundvard_network_straights_of_chaos-troll_fojord	1
wh3_main_combi_region_the_monolith_of_katam	rhox_mar_mundvard_network_straights_of_chaos-troll_fojord	2
wh3_main_combi_region_troll_fjord	rhox_mar_mundvard_network_straights_of_chaos-troll_fojord	3
wh3_main_combi_region_fortress_of_the_damned	rhox_mar_mundvard_network_kraken_sea-fortress_of_the_damned	1
wh3_main_combi_region_shagrath	rhox_mar_mundvard_network_kraken_sea-fortress_of_the_damned	2
wh3_main_combi_region_shard_bastion	rhox_mar_mundvard_network_kraken_sea-fortress_of_the_damned	3
wh3_main_combi_region_altdorf	ovn_dekuypers_network_river_reik-course2	1
wh3_main_combi_region_carroburg	ovn_dekuypers_network_river_reik-course2	2
wh3_main_combi_region_kemperbad	ovn_dekuypers_network_river_reik-course2	3
wh3_main_combi_region_weismund	ovn_dekuypers_network_river_reik-course2	4
wh3_main_combi_region_middenstag	ovn_dekuypers_network_river_reik-course2	5
wh3_main_combi_region_talabheim	ovn_dekuypers_network_river_reik-course3	1
wh3_main_combi_region_kemperbad	ovn_dekuypers_network_river_reik-course3	2
wh3_main_combi_region_hergig	ovn_dekuypers_network_river_reik-course3	3
wh3_main_combi_region_middenstag	ovn_dekuypers_network_river_reik-course3	4
wh3_main_combi_region_talabheim	ovn_dekuypers_network_river_reik-bechafen	1
wh3_main_combi_region_bechafen	ovn_dekuypers_network_river_reik-bechafen	2
wh3_main_combi_region_hergig	ovn_dekuypers_network_river_reik-bechafen	3
wh3_main_combi_region_wolfenburg	ovn_dekuypers_network_river_reik-bechafen	4
wh3_main_combi_region_kappelburg	ovn_dekuypers_network_river_reik-bechafen	5
cr_combi_region_ind_4_2	ovn_dekuypers_network_eastern_sea_of_dread-ind	1
cr_combi_region_ind_4_1	ovn_dekuypers_network_eastern_sea_of_dread-ind	2
cr_combi_region_ind_4_3	ovn_dekuypers_network_eastern_sea_of_dread-ind	3
cr_combi_region_ihan_3_1	ovn_dekuypers_network_red_river-busan	1
cr_combi_region_ihan_3_2	ovn_dekuypers_network_red_river-busan	2
