ability	default_amount	max_amount	intensity_source	intensity_type	intensity_decay_delay	intensity_decay_duration	reset_intensity_in_reinforcement_pool
#special_ability_intensity_settings_tables;3;db/special_ability_intensity_settings_tables/hkrul_mar							
hkrul_mar_fooger_backing	0.0000	200.0000	time_in_melee	linear_multiplier	-1.0000	0.0000	false
hkrul_mar_scourge	0.0000	200.0000	kills_made	linear_multiplier	-1.0000	0.0000	false
hkrul_mar_shield_manann	0.0000	200.0000	time_in_melee	linear_multiplier	-1.0000	0.0000	false
hkrul_solkan_scales	0.0000	200.0000	kills_made	linear_multiplier	-1.0000	0.0000	false
hkrul_elf_buff	0.0000	200.0000	kills_made	linear_multiplier	-1.0000	0.0000	false
hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
hkrul_mar_spell_tzeentch_blue_fire_of_tzeentch_upgraded	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
hkrul_mar_spell_tzeentch_treason_of_tzeentch	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
hkrul_mar_spell_tzeentch_treason_of_tzeentch_upgraded	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
hkrul_mar_szeentch_tzeentchs_firestorm	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
hkrul_mar_szeentch_tzeentchs_firestorm_upgraded	1.0000	1.0000	mastery_of_elemental_winds	set	-1.0000	0.0000	false
hkrul_mar_flock	0.0000	200.0000	nearby_all_deaths	linear_multiplier	-1.0000	0.0000	false
hkrul_whale	0.0000	200.0000	time_in_melee	linear_multiplier	-1.0000	0.0000	false
