bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/hkrul_mar	
anti_infantry	hkrul_pg
armour_piercing	hkrul_pg_barded_warhorse
armoured	hkrul_pg_barded_warhorse
hkrul_smuggler	hkrul_pg_barded_warhorse
hkrul_jk	hkrul_jk_barded_warhorse
hkrul_jk	hkrul_jk
aquatic	hkrul_carriers_ror
shielded	hkrul_carriers_ror
magical_aura	hkrul_carriers_ror
magical_aura	hkrul_carriers
charge_reflector_vs_large	hkrul_pion
armoured	hkrul_pion
anti_large	hkrul_pion
aquatic	hkrul_klumpf
shielded	hkrul_klumpf
armoured	hkrul_klumpf
battle_prayers	hkrul_hendrik
decent_melee	hkrul_hendrik
duellist	hkrul_solkan
armour_piercing	hkrul_solkan
expendable	hkrul_burgher
anti_large	hkrul_burgher
anti_infantry	hkrul_privateers_dual_swords
aquatic	hkrul_privateers_dual_swords
duellist	hkrul_solkan_mirror
armour_piercing	hkrul_solkan_mirror
aquatic	hkrul_privateers
decent_melee	hkrul_privateers
hybrid	hkrul_privateers
duellist	hkrul_solkan_horse
armour_piercing	hkrul_solkan_horse
very_fast	hkrul_hendrik_pegasus
battle_prayers	hkrul_hendrik_pegasus
decent_melee	hkrul_hendrik_pegasus
spellcaster	hkrul_mar_egmond
decent_melee	hkrul_mar_egmond
barrier	hkrul_mar_egmond
spellcaster	hkrul_mar_egmond_horse
decent_melee	hkrul_mar_egmond_horse
barrier	hkrul_mar_egmond_horse
spellcaster	hkrul_mar_egmond_longma
decent_melee	hkrul_mar_egmond_longma
barrier	hkrul_mar_egmond_longma
armoured	hkrul_mar_munvard_01
melee_expert	hkrul_mar_munvard_01
spellcaster	hkrul_mar_munvard_01
armour_piercing	hkrul_mar_munvard_02
armoured	hkrul_mar_munvard_02
spellcaster	hkrul_mar_munvard_02
terror	hkrul_mar_munvard_02
armour_piercing_ranged	hkrul_mar_caravan_master
duellist	hkrul_mar_caravan_master
fire_whilst_moving	hkrul_mar_caravan_master
armour_piercing_ranged	hkrul_mar_caravan_master_horse
duellist	hkrul_mar_caravan_master_horse
fire_whilst_moving	hkrul_mar_caravan_master_horse
armoured	hkrul_guzunda
armoured	hkrul_alicia
decent_melee	hkrul_alicia
spellcaster	hkrul_alicia
armoured	hkrul_alicia_horse
decent_melee	hkrul_alicia_horse
spellcaster	hkrul_alicia_horse
armoured	hkrul_alicia_hellsteed
decent_melee	hkrul_alicia_hellsteed
spellcaster	hkrul_alicia_hellsteed
very_fast	hkrul_alicia_hellsteed
duellist	hkrul_lisette
armour_piercing	hkrul_lisette
hkrul_smuggler	hkrul_lisette
att_good	hkrul_crispijn
hkrul_smuggler	hkrul_crispijn
hkrul_smuggler	hkrul_guzunda
hkrul_smuggler	hkrul_cross
hkrul_smuggler	hkrul_pg
armour_piercing	hkrul_cross
decent_melee	hkrul_harb
armour_piercing_ranged	hkrul_harb
armoured	hkrul_lector_manann
battle_prayers	hkrul_lector_manann
aquatic	hkrul_lector_manann
anti_infantry	hkrul_slaver
anti_infantry	ovn_mar_inf_knights_mariner_0
charge_reflector_vs_large	ovn_mar_inf_knights_mariner_0
shielded	ovn_mar_inf_knights_mariner_0
aquatic	ovn_mar_inf_knights_mariner_0
aquatic	hkrul_mar_riverwarden_ror
battle_prayers	hkrul_lector_manann_mount
aquatic	hkrul_lector_manann_mount
