unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/rhox_mar_emp_cus					
			hkrul_pion_cus_emp	emp_all	false
			hkrul_pion_cus_emp	emp_halberds	false
			hkrul_pion_cus_emp	emp_infantry	false
			hkrul_pion_cus_emp	emp_melee_infantry_tier_1	false
			hkrul_pion_cus_emp	emp_state_troops	false
			hkrul_pion_cus_emp	mp_cap_unit_emp_inf_halberdiers	false
			hkrul_pion_cus_emp	wh2_dlc11_emp_spearmen_swordsmen_flagellants_halberdiers	false
			hkrul_pion_cus_emp	wh2_dlc11_emp_vets_greatswords_halberds_reiksguard_knights_of_the_blazing_sun_demigryph_knights	false
			hkrul_pion_cus_emp	wh2_dlc11_emp_vets_greatswords_halberds_reiksguard_knights_of_the_blazing_sun_demigryph_knights_ror	false
			hkrul_pion_cus_emp	wh2_main_ror_units_all	false
			hkrul_klumpf_cus_emp	emp_all	false
			hkrul_klumpf_cus_emp	emp_infantry	false
			hkrul_klumpf_cus_emp	emp_melee_infantry_tier_1	false
			hkrul_klumpf_cus_emp	emp_state_troops	false
			hkrul_klumpf_cus_emp	emp_swords	false
			hkrul_klumpf_cus_emp	mp_cap_unit_emp_inf_sigmars_sons_0	false
			hkrul_klumpf_cus_emp	mp_cap_unit_emp_inf_swordsmen_0	false
			hkrul_klumpf_cus_emp	wh2_dlc11_emp_spearmen_swordsmen_flagellants_halberdiers	false
			hkrul_klumpf_cus_emp	wh2_dlc11_emp_vets_spearmen_swordsmen_flagellants_huntsmen_empire_knights_ror	false
			hkrul_klumpf_cus_emp	wh2_dlc11_emp_vets_spearmen_swordsmen_flagellants_huntsmen_empire_knights	false
			hkrul_klumpf_cus_emp	wh2_main_ror_units_all	false
			hkrul_carriers_ror_cus_emp	emp_state_troops	true
			hkrul_carriers_ror_cus_emp	wh2_main_ror_units_all	false
			hkrul_carriers_ror_cus_emp	emp_all	false
			hkrul_carriers_ror_cus_emp	emp_infantry	false
			hkrul_mar_art_paixhan_ror_cus_emp	emp_all	false
			hkrul_mar_art_paixhan_ror_cus_emp	emp_artillery	false
			hkrul_mar_art_paixhan_ror_cus_emp	mp_cap_group_ranged_units	false
			hkrul_mar_art_paixhan_ror_cus_emp	mp_cap_unit_emp_art_mortar	false
			hkrul_mar_art_paixhan_ror_cus_emp	wh2_dlc11_emp_vets_all_artillery_luminark_steam_tank_war_wagon	false
			hkrul_mar_art_paixhan_ror_cus_emp	wh2_dlc11_emp_vets_all_artillery_luminark_steam_tank_war_wagon_ror	false
			hkrul_mar_art_paixhan_ror_cus_emp	wh2_main_ror_units_all	false
			hkrul_mar_mananns_blades_ror_cus_emp	emp_all	false
			hkrul_mar_mananns_blades_ror_cus_emp	emp_infantry	false
