key	text	tooltip
#Loc;1;text/db/hkrul_mar_cdir_events_campaign_payload_ui_details__.loc		
campaign_payload_ui_details_description_rd1_second_hkrul	[[col:green]]Fund [[img:ui/flags/wh_main_emp_nordland/mon_24.png]][[/img]] Nordland so they can wage a war against [[img:ui/flags/wh_main_emp_middenland/mon_24.png]][[/img]] Middenland. Sends one Landship to Salzenmund to help their efforts.[[/col]]	true
campaign_payload_ui_details_description_rd1_third_hkrul	[[col:green]]Fund [[img:ui/flags/wh_main_emp_middenland/mon_24.png]][[/img]] Middenland so they can wage a war against [[img:ui/flags/wh_main_emp_empire/mon_24.png]][[/img]] Reikland. Sends one Landship to Middenheim to help their efforts.[[/col]]	true
campaign_payload_ui_details_description_rd1_fourth_hkrul	[[col:green]]Fund [[img:ui/flags/wh_main_brt_bretonnia/mon_24.png]][[/img]] Couronne so they can wage a war against [[img:ui/flags/wh_main_emp_empire/mon_24.png]][[/img]] Reikland.[/col]] 	true
campaign_payload_ui_details_description_rd1_first_hkrul	[[col:green]]Fund [[img:ui/flags/wh_main_emp_wissenland/mon_24.png]][[/img]] Wissenland so they can wage a war against [[img:ui/flags/wh_main_emp_empire/mon_24.png]][[/img]] Reikland. Sends one Landship to Nuln to help their efforts.[[/col]]	true
campaign_payload_ui_details_description_rd2_second_hkrul	Dilemma 2 Choice B	true
campaign_payload_ui_details_description_rd2_third_hkrul	Dilemma 2 Choice C	true
campaign_payload_ui_details_description_rd2_fourth_hkrul	Dilemma 2 Choice D	true
campaign_payload_ui_details_description_rd2_first_hkrul	Dilemma 2 Choice A	true
campaign_payload_ui_details_description_rhox_mar_guilded_access	Gained access to the Guilded Route	false
