key	text	tooltip
#Loc;1;text/db/hkrul_mar_character_skills__.loc		
character_skills_localised_description_hkrul_solkan_horse	As a shadow of vengeance rides the Sword of Solkan through the dark streets of Marienburg, some say his horse Phantom is the vengeful image of Solkan himself.	true
character_skills_localised_description_hkrul_pg_barded_warhorse	The finest steed freshly imported to the City-State of Marienburg.	true
character_skills_localised_name_hkrul_pg_barded_warhorse	Empire Warhorse	true
character_skills_localised_name_hkrul_solkan_horse	Phantom	true
character_skills_localised_name_hkrul_egmond_longma	Kawaru	true
character_skills_localised_name_innate_hkrul_hendrik	Haeyndrik's Profit	true
character_skills_localised_name_innate_hkrul_pg	Big Piet	true
character_skills_localised_name_innate_hkrul_crispijn	The Strutting Cock	true
character_skills_localised_name_innate_hkrul_guzunda	Pond's Guide	true
character_skills_localised_name_innate_hkrul_jk	Richest man alive	true
character_skills_localised_description_innate_hkrul_jk	Old Van de Kuypers does not lead from the front, but instead from the backrooms of the many estates in Marienburg. He leaves the conquering to Emperors, Tsars, Nobles and High-Kings. And what do those all have in common? They all owe money to Jaan van de Kuypers.	true
character_skills_localised_description_innate_hkrul_guzunda	Guzunda Wallrattler once guided a group of Lizardmen through the Swamps of the Wasteland. Their leader, a Slann named Itzibitzi, set out to settle these swamps.	true
character_skills_localised_description_innate_hkrul_crispijn	''No one does it better than me! Smuggling, of course. I was talking about smuggling''.	true
character_skills_localised_description_innate_hkrul_pg	Very few men combine aptitude for business with a talent for swordplay, Pieter is one of them. 	true
character_skills_localised_description_innate_hkrul_hendrik	"Money, power, and influence—these are my Gods. And Haeyndrik represents all that is money, power, and influence."	true
character_skills_localised_name_hkrul_jk_special_0	A Lord Provides	true
character_skills_localised_description_hkrul_jk_special_1_1	Van de Kuypers has interest in all sorts of rarities known to the Old and New World a like. Although no fighter by any means, his expensive exotic and imported equipment would suit that of a revered hero.	true
character_skills_localised_name_hkrul_jk_special_1_1	Imported Armory	true
character_skills_localised_description_hkrul_jk_special_1_2	The Stadsraad is the ''democratic'' house of Marienburg. The Stadsraad is the building occupied by the two houses of the Wasteland's parliament. Al though democratic at first glance, it's noticeable Jaan has never lost a vote.	true
character_skills_localised_name_hkrul_jk_special_1_2	Key to the Stadsraad	true
character_skills_localised_description_hkrul_jk_special_1_3	During his younger years Jaan has seen his fair share of seas. He was one of the first to explore a trade route with the far new world of Lustria, besting storms and reefs along the way. 	true
character_skills_localised_name_hkrul_jk_special_1_3	Globetrotter	true
character_skills_localised_description_hkrul_jk_special_1_4	Marienburg is located in the Wastelands, or ''Low-Lands''. These lands are below sea level. The Vloedmuur, or ''floodwall'', is one of the strongest defense mechanics employed by these Lowlanders. They simple breach a few dams and literally flood their lands. Forcing hostile forces on the retreat, or at the very least a slower advance.	true
character_skills_localised_name_hkrul_jk_special_1_4	The Vloedmuur	true
character_skills_localised_description_hkrul_jk_special_2	Marienburg's navy is listest among the most powerful fleets of the world. A common military strategy employed by Marienburg is deploying relatively close to the shoreline. They use their powerful frigates to bombard enemy land forces from the sea. 	true
character_skills_localised_name_hkrul_jk_special_2	Maritime Deterrence	true
character_skills_localised_description_hkrul_jk_special_3	The flagship of the Marienburger Navy, the mighty Zegepraal. It's mere sight causes both pirate and privateer to tremble. For Jaan it's just one of the few recently purchased assets for House Van de Kuypers. 	true
character_skills_localised_name_hkrul_jk_special_3	The Mighty Zegepraal	true
character_skills_localised_description_hkrul_pg_special_1_0	Suiddock is one of the poorer districts of Marienburg and houses cutthroats, gamblers and dockworkers a like. Pieter was raised among fights and squabble, learning to hold his own with cutlass and dices. 	true
character_skills_localised_description_hkrul_pg_special_1_1	Not just capable with the sword, Pieter has a taste for wealth, value and business. His posture commands respect amongst the common folk, and they respect his ability to evenly share the loot after battle. Some say this is a mistake, however..  	true
character_skills_localised_name_hkrul_pg_special_1_0	Champion of Suiddock	true
character_skills_localised_name_hkrul_pg_special_0_3	Golden Pinions	true
character_skills_localised_name_hkrul_pg_special_1_1	Loot Gestionnaire	true
character_skills_localised_description_hkrul_pg_special_1_2	Strompoort is a mighty tower that looks over the River Reik and the maritime gateway of Marienburg. Stacked with powder and metal chains to stop any hostile fleet in it's track. 	true
character_skills_localised_name_hkrul_pg_special_1_2	Strompoort's Powder	true
character_skills_localised_description_hkrul_pg_special_2	On the seaward end of Tempelwijk by the entrance to Manaanshaven, Baron Henryk's College of Navigation and Sea Magicks is one of the Old World's premier centres of learning the crafts of seamanship. Pieter learned however, a hook has more functionalities than learned at Baron Henryk's.	true
character_skills_localised_name_hkrul_pg_special_2	Baron Henryk's Hook	true
character_skills_localised_description_hkrul_pg_special_3_1	Whenever House Van de Kuypers ship precious cargo, ''Big Piet'' is embedded on board of the various ships to prevent daring thieves, raiders and pirates to interfere with Guild business. Pieter de Groot is known to have never lost any cargo.	true
character_skills_localised_name_hkrul_pg_special_3_1	Navigator Savvy	true
character_skills_localised_description_hkrul_pg_special_3_2	Pieter de Groot, commonly named ''Big Piet'', is well over six feet tall and powerfully built. His sandy hair and beard are close-cropped, and his blue eyes look somehow too small for his square face, which is rounded off by a razor-sharp jawline	true
character_skills_localised_name_hkrul_pg_special_3_2	The One they call Big Piet	true
character_skills_localised_description_hkrul_pg_special_3_3	Big Piet is the man who upheld the honour of the guild (and the whole Suiddock) in a trial-by-combat against the champion of a Tilean merchant house, as he has bested many champions in these trials before.	true
character_skills_localised_name_hkrul_pg_special_3_3	Trial-by-Combat	true
character_skills_localised_name_hkrul_jk_special_2_0	Tradesmen & Diplomat	true
character_skills_localised_description_hkrul_jk_special_2_0	Gold makes the world go round. Jaan knows how to use wealth to influence diplomacy and geo-politics. He has many friends, yet even more enemies.	true
character_skills_localised_name_hkrul_jk_special_2_1_1	Averlander Corn	true
character_skills_localised_description_hkrul_jk_special_2_1_1	A specialty from the rich lands of Averland, the Mad Count Leitdorf offers Jaan a monopoly position when it comes to importing Averlander Corn. The count might be unpredicatable, his corn is worth it's weight in literal gold.	true
character_skills_localised_name_hkrul_jk_special_2_2_1	Tilean Wine	true
character_skills_localised_name_hkrul_jk_special_2_1_2	Ostlander Pork	true
character_skills_localised_description_hkrul_jk_special_2_2_1	The finest wines hail from the Southern Lands of Tilea. Although Jaan often calls Miragliano the poor man's Marienburg, it is undisputably important to establish a position within it's complex market.	true
